275.000s     6029 msg/s   6018 msg/s 126/338/706/4143/10387 µs
276.000s     6029 msg/s   6041 msg/s 137/350/1038/9832/14786 µs
277.000s     6023 msg/s   6005 msg/s 126/344/789/11254/21914 µs
278.000s     6030 msg/s   6047 msg/s 118/347/802/8140/15987 µs
279.000s     6023 msg/s   6023 msg/s 127/376/895/5447/8907 µs
280.000s     6024 msg/s   6022 msg/s 106/421/1184/11321/33672 µs
281.000s     6028 msg/s   6030 msg/s 128/346/1018/13616/20605 µs
282.000s     6029 msg/s   6029 msg/s 132/322/618/1873/7367 µs
283.000s     6024 msg/s   6019 msg/s 127/321/698/4305/9183 µs
284.000s     6023 msg/s   6029 msg/s 120/356/827/8402/32341 µs
285.000s     6030 msg/s   6029 msg/s 119/365/957/7842/15846 µs
286.000s     6028 msg/s   6029 msg/s 122/395/1162/15024/22764 µs
287.000s     6030 msg/s   6028 msg/s 127/358/742/20920/39736 µs
288.001s     6024 msg/s   6025 msg/s 120/340/1228/8588/12281 µs
289.000s     6029 msg/s   6028 msg/s 125/345/657/1726/5351 µs
290.001s     6083 msg/s   6081 msg/s 129/364/1247/8492/13948 µs
291.000s     5969 msg/s   5971 msg/s 110/334/688/7641/13772 µs
292.000s     6028 msg/s   6029 msg/s 127/301/771/5323/12475 µs
293.000s     6023 msg/s   6022 msg/s 119/358/796/15350/31007 µs
294.000s     6030 msg/s   6030 msg/s 124/491/1486/26408/36736 µs
295.000s     6024 msg/s   6024 msg/s 129/371/832/2664/5150 µs
296.000s     6024 msg/s   6022 msg/s 117/451/2551/22099/37549 µs
297.000s     6029 msg/s   6022 msg/s 129/370/985/19510/34228 µs
298.000s     6030 msg/s   6040 msg/s 124/314/583/3945/10318 µs
299.000s     6030 msg/s   6030 msg/s 130/383/1311/28949/46975 µs
300.000s     6024 msg/s   6022 msg/s 113/360/1723/8221/16128 µs
301.000s     6023 msg/s   6024 msg/s 132/417/999/10779/24354 µs
302.000s     6024 msg/s   6025 msg/s 125/344/698/11566/22755 µs
303.000s     6024 msg/s   5922 msg/s 117/398/965/7351/12307 µs
304.000s     6030 msg/s   6132 msg/s 142/394/856/3543/12919 µs
305.000s     6023 msg/s   6018 msg/s 131/396/898/11224/23700 µs
306.000s     6029 msg/s   6035 msg/s 120/535/3215/19351/26748 µs
307.000s     6024 msg/s   6023 msg/s 127/325/680/4102/9480 µs
308.000s     6024 msg/s   6002 msg/s 113/311/892/8560/16959 µs
309.000s     6029 msg/s   6044 msg/s 124/356/1153/10184/19388 µs
310.001s     6022 msg/s   6031 msg/s 132/450/843/9433/16770 µs
311.000s     6030 msg/s   6029 msg/s 127/403/1871/28685/45027 µs
312.000s     6030 msg/s   6018 msg/s 127/373/1866/14039/24921 µs
313.000s     6024 msg/s   6035 msg/s 123/381/1722/13487/19193 µs
314.000s     6028 msg/s   5989 msg/s 125/592/3697/18874/36243 µs
315.000s     6030 msg/s   6069 msg/s 123/388/895/15417/22019 µs
316.000s     6029 msg/s   5990 msg/s 115/468/3371/9779/13263 µs
317.000s     6024 msg/s   6058 msg/s 129/353/1286/8324/12969 µs
318.000s     6029 msg/s   6021 msg/s 129/351/785/9857/18641 µs
319.000s     6023 msg/s   5962 msg/s 126/337/741/6712/11285 µs
320.000s     6030 msg/s   6096 msg/s 136/361/1335/18614/33435 µs
321.000s     6024 msg/s   6030 msg/s 127/328/695/7729/21270 µs
322.000s     6029 msg/s   6028 msg/s 139/349/861/14153/28936 µs
323.000s     6023 msg/s   5908 msg/s 120/448/1365/12573/25221 µs
324.000s     6030 msg/s   6144 msg/s 130/365/1360/15290/27728 µs
325.000s     6023 msg/s   6026 msg/s 115/315/1198/9638/20529 µs
326.000s     6030 msg/s   6029 msg/s 119/340/720/6388/23287 µs
327.000s     6029 msg/s   6030 msg/s 118/341/1219/9579/13422 µs
328.000s     6024 msg/s   6022 msg/s 127/372/835/6708/12562 µs
329.000s     6024 msg/s   6024 msg/s 122/365/1385/10676/31312 µs
330.000s     6029 msg/s   6029 msg/s 132/397/957/13253/20526 µs
331.000s     6024 msg/s   6025 msg/s 113/377/1353/10148/17869 µs
332.000s     6029 msg/s   5968 msg/s 131/366/1356/13921/41380 µs
333.000s     6024 msg/s   6084 msg/s 131/324/692/5853/10412 µs
334.000s     6023 msg/s   5979 msg/s 125/356/887/7701/18875 µs
335.000s     6030 msg/s   6075 msg/s 122/396/1419/11927/22708 µs
336.000s     6029 msg/s   6028 msg/s 141/471/1483/39482/63534 µs
337.000s     6029 msg/s   6030 msg/s 127/335/701/10456/16917 µs
338.000s     6030 msg/s   6029 msg/s 119/375/1380/11735/18471 µs
339.000s     6029 msg/s   6027 msg/s 118/375/795/5610/13550 µs
340.000s     6023 msg/s   6026 msg/s 128/410/1206/5700/11601 µs
341.000s     6030 msg/s   5933 msg/s 120/332/771/4334/9455 µs
342.000s     6029 msg/s   6125 msg/s 127/354/809/10681/19119 µs
343.000s     6024 msg/s   6022 msg/s 118/319/1221/5205/7545 µs
344.001s     6025 msg/s   6026 msg/s 117/328/850/4182/7007 µs
345.000s     6027 msg/s   6027 msg/s 124/316/866/11998/19566 µs
346.000s     6024 msg/s   6015 msg/s 132/393/761/3752/7173 µs
347.000s     6023 msg/s   6032 msg/s 133/372/805/4464/11833 µs
348.002s     6022 msg/s   6016 msg/s 129/417/955/11658/23351 µs
349.000s     6030 msg/s   5982 msg/s 118/316/735/6651/18085 µs
350.000s     6028 msg/s   6080 msg/s 122/348/721/4473/7074 µs
351.001s     6024 msg/s   6026 msg/s 106/349/858/6767/16381 µs
352.000s     6029 msg/s   6025 msg/s 125/348/823/4651/8014 µs
353.000s     6024 msg/s   6027 msg/s 126/327/663/4667/12369 µs
354.000s     6028 msg/s   6029 msg/s 129/389/851/3687/12156 µs
355.000s     6029 msg/s   6029 msg/s 137/353/744/3470/9261 µs
356.000s     6024 msg/s   6023 msg/s 114/346/929/9121/14070 µs
357.000s     6024 msg/s   6023 msg/s 130/400/1426/10420/15878 µs
358.000s     6029 msg/s   6030 msg/s 132/397/1048/10337/27829 µs
359.000s     6023 msg/s   6023 msg/s 131/339/758/9001/26612 µs
360.000s     6024 msg/s   6023 msg/s 125/383/883/10630/18143 µs
